 	com
nih	0.0
inra	0.0
nlm	0.0
affrc	0.0
merr	0.00994
edu	0.01701
zhang	0.10205
lam	0.2222
walp	0.2344
gov	0.375
heynh	0.4133
com	0.4353
nobl	0.4531
luteu	0.52
riken	0.56
sci	0.6147
subsp	0.6387
php	0.722
zucc	0.7275
tomentella	0.76
glyma	0.78
spp	0.8364
org	0.86
var	0.9062
kr	1.111
jp	1.13
regel	1.167
cv	1.399
latifolia	1.422
gaertn	1.424
doi	1.4375
wang	1.444
http	1.531
phvul	1.547
journal	1.56
a2	1.579
larsen	1.625
approx	1.667
url	1.6875
nigra	1.694
html	1.741
physiol	1.889
chinensi	1.9375
jacq	2.0
netcommon	2.0
sieb	2.047
sp	2.139
www	2.182
ec	2.209
wilczek	2.223
phaseoli	2.25
hu	2.334
medicago_sativa	2.355
missouri	2.36
yu	2.367
arboreum	2.371
author	2.383
v1	2.496
dc	2.518
falcata	2.52
repen	2.527
indica	2.537
albu	2.562
merril	2.564
et	2.57
hirsutum	2.639
chen	2.666
syd	2.68
barbadens	2.691
radiata	2.72
abstractsoybean	2.752
copyright	2.777
viz	2.793
liu	2.8
pratens	2.82
john	2.834
willd	2.84
soja	2.873
culinari	2.875
ver	2.916
tang	2.918
hypogaea	2.932
github	2.951
vs	3.01
cs	3.072
societi	3.107
son	3.15
wiley	3.15
unfortun	3.184
arabinosyl	3.2
inc	3.223
unguiculata	3.236
sinensi	3.248
kazusa	3.307
worldwid	3.33
objetivo	3.334
vigna	3.342
lib	3.371
css	3.375
likewis	3.387
syn	3.416
sclerotiorum	3.418
cn	3.424
os	3.469
reticulatum	3.469
psb	3.48
annual	3.486
roseu	3.5
linn	3.5
provok	3.516
siebold	3.555
sapien	3.555
amp	3.574
trifolium	3.578
ssp	3.582
cam	3.594
medik	3.64
al	3.654
moench	3.666
spontaneum	3.666
peanutbas	3.666
specialti	3.688
duranensi	3.695
lyrata	3.703
howev	3.709
fifteen	3.713
subspeci	3.73
bari	3.74
visibl	3.742
fig	3.75
unlik	3.783
exclud	3.785
seriou	3.805
interestingli	3.812
nat	3.816
chr	3.826
glycinemax	3.834
japonica	3.836
vu	3.852
clover	3.863
s1	3.875
qsw	3.88
gibberella	3.889
the	3.924
seca	3.938
que	3.938
coevolv	3.953
daili	3.975
ornament	3.988
home	4.0
sesamum	4.0
indicum	4.0
pme	4.016
pisum	4.023
gmgst	4.023
ax	4.035
and	4.08
often	4.08
twelv	4.082
am	4.082
cnv	4.094
no	4.098
abstract	4.105
unknown	4.11
preciou	4.11
phytozom	4.117
popular	4.117
vrn1	4.125
javanica	4.137
oleracea	4.15
twenti	4.164
intechopen	4.184
como	4.188
glycine_soja	4.19
is	4.195
exhibit	4.203
cleav	4.207
recogn	4.223
alfalfa	4.227
banana	4.227
finder	4.23
nh3	4.234
curca	4.24
saccharum	4.242
resultsth	4.254
threaten	4.26
mbp	4.277
canescen	4.28
xanthomona	4.29
veri	4.3
o3	4.305
gt	4.305
nineti	4.305
crk	4.312
lincrna	4.33
resultsal	4.332
conclusionw	4.336
ensembl	4.34
nd	4.36
phd	4.36
contain	4.363
pif4	4.37
call	4.38
max	4.39
via	4.4
angulari	4.41
easili	4.41
pav	4.414
ap	4.42
caus	4.42
nevertheless	4.42
seventeen	4.42
glycin	4.438
cryptochrom	4.453
len	4.457
medic	4.465
lupinus_angustifoliu	4.47
glycinea	4.473
pepc	4.477
thirteen	4.496
tocopherol	4.5
rpl4	4.5
typic	4.504
mutagen	4.51
are	4.52
wm82	4.52
fr	4.527
ipaensi	4.53
excess	4.535
in	4.543
arietinum	4.547
axonopodi	4.547
anticanc	4.555
nm	4.56
vigna_angulari	4.56
citri	4.56
furthermor	4.562
of	4.562
sativum	4.566
supplementari	4.57
stream	4.582
notabl	4.586
hydrolyz	4.586
unexplor	4.59
soil	4.605
remain	4.61
prr	4.613
subclass	4.62
freeli	4.625
hazard	4.625
were	4.63
phaseoloid	4.63
few	4.645
packag	4.652
name	4.656
toxic	4.656
potent	4.656
etc	4.66
meyer	4.668
digbio	4.668
mir408	4.68
far	4.68
se	4.684
carrot	4.69
commonli	4.695
inde	4.695
cancer	4.7
orphan	4.715
snf	4.72
unclear	4.723
web	4.723
purpl	4.727
white	4.742
possess	4.75
limit	4.754
sever	4.77
apart	4.773
chemic	4.773
unigen	4.773
sprout	4.777
clan	4.777
perl	4.777
resultsw	4.78
besid	4.78
ala	4.79
haploid	4.79
produc	4.79
perenni	4.793
convert	4.793
symptom	4.793
behaviour	4.797
nue	4.797
extrem	4.8
concomitantli	4.8
tran	4.81
oomycet	4.81
sesam	4.812
sclerotinia	4.812
pipelin	4.816
bsr	4.816
callu	4.82
eighteen	4.82
ac	4.83
identifi	4.836
yield	4.836
st	4.836
threat	4.836
compris	4.836
de	4.836
tall	4.836
form	4.836
mold	4.84
glucanas	4.848
vitamin	4.848
display	4.848
season	4.85
angustifoliu	4.855
also	4.86
by	4.863
sub	4.867
invertas	4.867
dmg	4.87
insuffici	4.87
eight	4.88
hit	4.883
soybean	4.887
linum	4.89
usitatissimum	4.89
highli	4.89
constrain	4.902
rav	4.902
mani	4.906
strictli	4.906
exceed	4.914
ten	4.914
eukaryot	4.914
weed	4.914
acbp	4.914
tianlong	4.918
raimondii	4.92
lt	4.92
lb	4.92
unstabl	4.92
translat	4.926
acquir	4.93
peptid	4.934
macrosynteni	4.934
virus	4.938
diesel	4.938
lupinu	4.94
qdrl	4.94
glycine_max	4.94
ltd	4.945
categor	4.95
nine	4.95
isol	4.95
mm	4.953
ppr	4.957
canopi	4.957
strong	4.957
moreov	4.96
ubiquit	4.96
protocol	4.965
wa	4.97
suffer	4.97
phytophthora	4.97
nanoparticl	4.973
have	4.973
pv	4.984
thirti	4.984
dwarf	4.99
themselv	4.992
ongo	4.996
had	5.0
shrub	5.0
decid	5.0
seven	5.0
kefeng	5.0
rot	5.004
silicon	5.008
harbor	5.01
empir	5.01
proton	5.016
discov	5.016
oxidas	5.02
protein	5.023
insect	5.023
attract	5.027
obscur	5.027
guar	5.027
snare	5.03
can	5.03
virguliform	5.03
idc	5.03
widespread	5.035
snap	5.035
an	5.035
five	5.04
satisfactori	5.04
pronounc	5.04
previous	5.04
to	5.043
figur	5.047
fn	5.062
allopolyploidi	5.066
firstli	5.07
depriv	5.07
sens	5.082
net	5.082
still	5.082
scarc	5.086
serious	5.086
glyphos	5.086
mostli	5.086
for	5.09
mirna	5.09
reproduc	5.09
sequenti	5.098
classifi	5.098
da	5.098
bnf	5.105
from	5.11
ls	5.11
numer	5.11
underestim	5.11
done	5.113
been	5.113
fit	5.113
with	5.117
cowpea	5.117
consider	5.117
leaflet	5.117
softwar	5.12
fingerprint	5.12
obtain	5.12
onlin	5.12
triterpenoid	5.12
plantlet	5.125
abstracta	5.125
legumefeder	5.125
constantli	5.13
intriguingli	5.13
c1	5.13
rare	5.13
soykb	5.133
genbank	5.137
ha	5.14
signific	5.14
merg	5.14
dataset	5.14
lupin	5.14
fourteen	5.145
pose	5.15
carri	5.152
band	5.152
ic	5.152
phytochem	5.152
pharmaceut	5.152
allergen	5.164
among	5.164
destruct	5.17
subfamili	5.18
intrigu	5.18
these	5.18
phytophthora_soja	5.18
meta	5.184
oilse	5.184
glomu	5.188
difficult	5.188
henc	5.188
class	5.19
iron	5.195
tabl	5.2
usual	5.203
controversi	5.203
synchron	5.207
fewer	5.207
requir	5.21
gst	5.21
therefor	5.215
abstractth	5.215
ribosom	5.215
they	5.215
file	5.22
snf2	5.22
raw	5.223
pepper	5.23
hsp20	5.23
employ	5.23
uniqu	5.24
race	5.242
or	5.242
fe	5.242
ndr1	5.25
extraordinarili	5.25
deliber	5.25
switch	5.25
affect	5.254
viabl	5.254
harvest	5.258
rapidli	5.258
phaseolus_vulgari	5.26
knockout	5.26
fast	5.266
predominantli	5.266
resist	5.27
augment	5.27
melatonin	5.277
em	5.277
cadmium	5.28
induc	5.28
group	5.285
subtyp	5.285
novel	5.285
becom	5.29
slight	5.29
against	5.29
rapese	5.293
c2	5.297
plant	5.3
neg	5.3
rboh	5.3
dc3000	5.305
glucosid	5.31
ray	5.31
it	5.31
li	5.31
final	5.312
nhx	5.312
fed	5.312
fungu	5.316
altern	5.32
pre	5.32
diseas	5.32
poorli	5.32
ga	5.324
weak	5.33
design	5.33
vulgari	5.33
incomplet	5.33
revers	5.332
paralogu	5.332
dramat	5.332
intersect	5.332
oligomer	5.332
irradi	5.332
pea	5.336
experiment	5.34
good	5.34
not	5.34
so	5.34
nl	5.34
tlp	5.344
brachypodium_distachyon	5.35
coli	5.35
warm	5.35
homolog	5.35
degener	5.355
known	5.36
gossypium_barbadens	5.36
coastal	5.36
extens	5.36
camellia	5.36
multigen	5.36
gm	5.363
pap	5.363
across	5.363
confer	5.367
into	5.367
sulfat	5.367
synthes	5.37
encount	5.37
vital	5.37
share	5.375
hemoglobin	5.375
separ	5.375
ncbi	5.38
cacao	5.38
micronutri	5.38
peanut	5.38
multipl	5.383
tetraploid	5.383
report	5.383
phenomenon	5.387
major	5.387
gene	5.395
dir	5.395
extract	5.395
three	5.395
whose	5.395
taxa	5.395
pathogen	5.4
product	5.4
as	5.402
blue	5.402
chromosom	5.402
cooper	5.406
uv	5.41
all	5.41
uniform	5.414
ms	5.414
temporarili	5.418
small	5.418
crop	5.418
cd	5.418
india	5.418
paramet	5.418
aluminum	5.418
huang	5.418
aa	5.42
surprisingli	5.42
encod	5.426
thu	5.426
liquiritigenin	5.43
ppo	5.43
four	5.434
prefer	5.434
yet	5.438
avr1d	5.438
primer	5.44
vertebr	5.44
feed	5.44
distinct	5.44
acacia	5.445
eu	5.445
more	5.445
apiacea	5.45
gossypium	5.453
mammalian	5.453
that	5.453
splice	5.457
option	5.46
sap	5.465
african	5.47
use	5.47
cannot	5.47
blast	5.47
ph	5.473
gmnpr1	5.473
py	5.473
local	5.473
when	5.473
bio	5.477
ecotyp	5.477
imag	5.48
probe	5.48
inject	5.48
domain	5.484
cluster	5.484
cotton	5.484
resultsa	5.484
detect	5.49
mungbean	5.49
understood	5.492
conclusionsa	5.492
tobacco	5.492
pri	5.492
multiplex	5.496
glb	5.496
gma	5.496
spars	5.5
week	5.5
metric	5.5
gb	5.504
singl	5.508
ao	5.508
legum	5.508
guanin	5.51
throughout	5.51
show	5.516
prioriti	5.516
retriev	5.516
