	corr
the	inf
and	inf
of	inf
in	inf
to	inf
gene	inf
that	inf
soybean	inf
for	inf
with	inf
were	inf
plant	inf
is	inf
by	inf
express	inf
wa	inf
we	inf
genom	inf
as	inf
thi	inf
protein	inf
from	inf
are	inf
on	inf
use	inf
identifi	inf
studi	inf
these	inf
sequenc	inf
which	inf
analysi	inf
an	inf
be	inf
stress	inf
function	inf
have	inf
develop	inf
respons	inf
result	inf
two	inf
show	inf
regul	inf
it	inf
seed	inf
differ	inf
transcript	inf
at	inf
genet	inf
or	inf
resist	inf
import	inf
famili	inf
their	inf
speci	inf
root	inf
been	inf
associ	inf
ha	inf
high	inf
role	inf
also	inf
includ	inf
specif	inf
between	inf
level	inf
under	inf
provid	inf
map	inf
reveal	inf
relat	inf
involv	inf
base	inf
increas	inf
acid	inf
crop	inf
region	inf
suggest	inf
into	inf
both	inf
one	inf
other	inf
activ	inf
trait	inf
three	inf
marker	inf
toler	inf
data	inf
compar	inf
indic	inf
our	inf
found	inf
line	inf
not	inf
arabidopsi	inf
but	inf
factor	inf
molecular	inf
most	inf
improv	inf
qtl	inf
addit	inf
select	inf
glycin	inf
like	inf
all	inf
chromosom	inf
dure	inf
may	inf
can	inf
than	inf
legum	inf
among	inf
howev	inf
major	inf
pathway	inf
type	inf
present	inf
gener	inf
control	inf
such	inf
more	inf
popul	inf
induc	inf
character	inf
growth	inf
contain	inf
breed	inf
mechan	inf
content	inf
here	inf
cell	inf
structur	inf
process	inf
interact	inf
drought	inf
sever	inf
effect	inf
conserv	inf
further	inf
flower	inf
max	inf
encod	inf
product	inf
group	inf
analys	inf
cultivar	inf
well	inf
condit	inf
wide	inf
pattern	inf
genotyp	inf
number	inf
time	inf
mutant	inf
target	inf
nodul	inf
rna	inf
snp	inf
promot	inf
phenotyp	inf
through	inf
signal	inf
respect	inf
tissu	inf
play	inf
candid	inf
total	inf
report	inf
new	inf
potenti	inf
differenti	inf
singl	inf
divers	inf
detect	inf
duplic	inf
transgen	inf
yield	inf
chang	inf
wild	inf
loci	inf
model	inf
understand	inf
significantli	inf
novel	inf
organ	inf
metabol	inf
domain	inf
known	inf
four	inf
allel	inf
larg	inf
system	inf
higher	inf
signific	inf
while	inf
onli	inf
highli	inf
approach	inf
abiot	inf
could	inf
transcriptom	inf
enhanc	inf
demonstr	inf
variou	inf
investig	inf
low	inf
key	inf
quantit	inf
variat	inf
perform	inf
predict	inf
