	experimental
and	11.76
of	11.75
the	11.63
in	11.62
to	11.52
thi	11.29
is	11.1
that	11.04
with	11.016
studi	10.97
for	10.805
by	10.734
these	10.67
an	10.63
result	10.625
we	10.555
be	10.54
on	10.484
provid	10.484
which	10.46
from	10.414
import	10.34
use	10.27
identifi	10.266
as	10.26
howev	10.23
are	10.22
also	10.164
gene	10.13
here	10.04
have	10.016
max	10.016
plant	9.984
analysi	9.914
show	9.9
includ	9.875
wa	9.875
our	9.86
reveal	9.84
develop	9.82
glycin	9.81
were	9.805
suggest	9.76
into	9.76
been	9.69
one	9.65
or	9.63
role	9.625
involv	9.6
indic	9.6
ha	9.6
most	9.586
further	9.58
function	9.57
addit	9.56
it	9.52
soybean	9.516
two	9.51
other	9.51
but	9.47
their	9.45
differ	9.445
play	9.44
present	9.42
not	9.42
wide	9.41
understand	9.41
at	9.37
base	9.37
molecular	9.34
compar	9.336
major	9.32
between	9.3
both	9.26
can	9.25
well	9.234
sever	9.234
more	9.22
such	9.21
high	9.21
report	9.19
than	9.19
express	9.18
found	9.17
may	9.164
quantit	9.164
among	9.15
all	9.15
mechan	9.125
character	9.086
key	9.086
investig	9.055
relat	8.984
potenti	8.97
improv	8.97
mani	8.945
gener	8.93
known	8.93
furthermor	8.92
increas	8.91
through	8.91
analys	8.89
larg	8.88
highli	8.88
will	8.87
perform	8.87
singl	8.87
genom	8.87
while	8.86
regul	8.86
level	8.85
process	8.84
specif	8.836
control	8.83
recent	8.83
contain	8.82
onli	8.81
genet	8.81
respect	8.805
demonstr	8.78
three	8.77
sequenc	8.766
signific	8.766
could	8.75
remain	8.74
total	8.71
product	8.71
new	8.71
analyz	8.7
find	8.7
insight	8.67
contribut	8.67
some	8.66
inform	8.66
pattern	8.64
respons	8.625
affect	8.59
first	8.59
merr	8.58
variou	8.555
factor	8.55
exhibit	8.54
associ	8.53
observ	8.53
significantli	8.52
data	8.516
identif	8.51
nucleotid	8.5
limit	8.49
growth	8.484
crop	8.48
togeth	8.48
encod	8.47
transcript	8.46
dure	8.46
although	8.46
multipl	8.46
similar	8.445
caus	8.445
basi	8.42
effect	8.414
thu	8.414
number	8.4
phylogenet	8.4
moreov	8.39
whole	8.39
speci	8.39
avail	8.36
futur	8.36
research	8.35
structur	8.35
select	8.34
within	8.33
about	8.33
confirm	8.32
essenti	8.31
repres	8.29
novel	8.29
reduc	8.28
approach	8.27
they	8.27
enhanc	8.27
chang	8.266
breed	8.266
there	8.26
biolog	8.26
protein	8.26
divers	8.26
assist	8.24
due	8.234
facilit	8.23
region	8.23
each	8.22
possibl	8.22
previous	8.21
resourc	8.195
determin	8.195
them	8.195
consist	8.19
conserv	8.19
four	8.18
detect	8.18
put	8.17
higher	8.17
rel	8.164
time	8.15
current	8.14
help	8.13
organ	8.13
distribut	8.125
activ	8.09
those	8.08
differenti	8.08
therefor	8.07
phenotyp	8.06
combin	8.06
induc	8.055
underli	8.055
comprehens	8.03
locat	8.03
arabidopsi	8.02
five	8.02
deriv	8.016
complex	8.016
across	8.016
cross	8.016
profil	8.01
after	8.01
local	8.01
pcr	8.0
lead	8.0
work	7.992
thaliana	7.984
posit	7.98
conduct	7.977
occur	7.973
candid	7.97
famili	7.97
valuabl	7.957
review	7.953
up	7.94
might	7.94
evalu	7.938
especi	7.934
under	7.93
inbr	7.93
worldwid	7.914
discuss	7.91
examin	7.902
pathway	7.902
evid	7.9
over	7.895
sourc	7.887
depend	7.887
rang	7.883
describ	7.88
had	7.867
support	7.867
explor	7.863
qualiti	7.863
condit	7.855
relationship	7.85
final	7.844
requir	7.832
yield	7.832
knowledg	7.832
transcriptom	7.83
trait	7.82
wherea	7.816
like	7.812
util	7.812
follow	7.812
critic	7.812
form	7.81
distinct	7.805
unknown	7.8
polymorph	7.8
environment	7.797
obtain	7.793
physiolog	7.79
loss	7.79
tissu	7.79
strategi	7.785
when	7.766
littl	7.75
produc	7.746
group	7.746
applic	7.742
chromosom	7.74
previou	7.734
via	7.734
system	7.727
