	infor
and	0.013695
of	0.01682
in	0.04718
the	0.05347
to	0.05396
here	-0.1605
howev	-0.10187
max	-0.0761
thi	-0.0423
provid	-0.04163
result	0.005444
studi	0.02205
also	0.02515
our	0.05862
glycin	0.0602
an	0.06064
import	0.0644
these	0.076
addit	0.07745
reveal	0.07996
includ	0.0819
is	0.08374
be	0.0917
which	0.0918
suggest	0.09265
indic	0.10315
into	0.10767
with	0.1214
most	0.1315
but	0.1337
one	0.1345
that	0.1353
by	0.1417
not	0.167
other	0.1675
on	0.1709
major	0.1731
we	0.1831
involv	0.1854
show	0.1906
from	0.1918
compar	0.2072
for	0.2092
can	0.2162
role	0.233
identifi	0.2361
use	0.239
have	0.2401
both	0.2417
been	0.2422
molecular	0.2423
ha	0.244
or	0.2488
base	0.2666
as	0.2737
are	0.2817
analysi	0.2979
develop	0.3076
between	0.3086
their	0.314
it	0.328
two	0.3372
at	0.3398
differ	0.3503
high	0.3677
relat	0.3904
improv	0.3943
function	0.3977
wa	0.4023
increas	0.4316
plant	0.4375
level	0.4443
gene	0.4502
specif	0.4666
were	0.491
regul	0.565
genet	0.591
soybean	0.6133
associ	0.624
express	0.634
crop	0.654
transcript	0.672
speci	0.6914
respons	0.6943
sequenc	0.698
genom	0.7593
famili	0.8364
protein	0.923
stress	1.246
merr	-0.07074
furthermor	-0.0321
togeth	-0.03192
insight	-0.02422
remain	-0.02214
final	-0.01468
worldwid	-0.014366
moreov	-0.004337
although	0.000919
unknown	0.010284
valuabl	0.02536
thu	0.03253
previou	0.0332
further	0.0335
find	0.04272
work	0.0461
inbr	0.04697
therefor	0.05252
basi	0.05374
highlight	0.0538
facilit	0.05844
investig	0.05908
key	0.06216
play	0.06433
especi	0.06494
conduct	0.0682
understand	0.07056
futur	0.07086
quantit	0.0748
thaliana	0.0749
exist	0.0772
while	0.0788
econom	0.08405
help	0.08673
confirm	0.08844
critic	0.0897
first	0.09143
report	0.0925
present	0.09344
wide	0.09357
about	0.095
due	0.09534
exhibit	0.09576
consist	0.0983
essenti	0.0988
them	0.0998
well	0.10535
explor	0.1067
possibl	0.10846
contribut	0.10913
contrast	0.1171
becaus	0.1175
support	0.11835
examin	0.11835
current	0.11945
demonstr	0.1198
known	0.1223
there	0.1247
mani	0.1254
analyz	0.127
highli	0.1273
perform	0.13
comprehens	0.133
assist	0.1338
repres	0.1345
discuss	0.1348
same	0.1357
shown	0.1376
onli	0.1384
evid	0.1396
establish	0.1437
need	0.145
recent	0.145
sever	0.1464
describ	0.1465
lead	0.1467
better	0.147
success	0.1497
enabl	0.1514
complet	0.1526
limit	0.1533
such	0.158
out	0.1589
previous	0.1592
wherea	0.1616
close	0.1624
knowledg	0.1625
mainli	0.1627
follow	0.1644
caus	0.1666
depend	0.1671
affect	0.1688
more	0.1713
occur	0.1721
some	0.1736
observ	0.1748
they	0.1777
will	0.1803
could	0.1816
potenti	0.1823
larg	0.1846
respect	0.188
world	0.1891
appli	0.1908
identif	0.192
whole	0.1931
underli	0.1935
cross	0.1935
than	0.1938
distinct	0.1956
rang	0.1976
signific	0.2003
all	0.2019
through	0.2023
character	0.2036
among	0.2065
challeng	0.2065
might	0.2085
inform	0.2096
via	0.2118
those	0.2118
rich	0.2122
may	0.2131
nucleotid	0.2139
obtain	0.2148
similar	0.2217
allow	0.2227
requir	0.223
evalu	0.2251
seven	0.2251
valid	0.2268
when	0.2285
singl	0.2305
how	0.2327
multipl	0.2327
found	0.236
analys	0.2407
physiolog	0.2418
act	0.244
util	0.2448
distribut	0.2452
comparison	0.2473
lower	0.2485
mechan	0.254
rel	0.2542
each	0.2551
natur	0.2554
uniqu	0.2578
review	0.2593
strategi	0.2598
agronom	0.262
contain	0.2632
over	0.2642
sourc	0.2654
presenc	0.2659
avail	0.267
variou	0.269
neg	0.269
put	0.2693
within	0.2712
relationship	0.2808
alter	0.2822
five	0.2861
reduc	0.2876
agricultur	0.2888
gener	0.2896
combin	0.2905
program	0.2927
new	0.2976
determin	0.298
phylogenet	0.298
significantli	0.2983
design	0.2988
eight	0.3008
six	0.3018
global	0.3018
up	0.3037
form	0.306
across	0.307
year	0.307
advanc	0.311
loss	0.3135
control	0.3174
main	0.319
total	0.3196
carri	0.3215
process	0.322
pcr	0.3225
environment	0.3232
resourc	0.3281
compon	0.3296
produc	0.3389
local	0.3394
pattern	0.3406
research	0.3408
biolog	0.345
development	0.3452
enhanc	0.348
after	0.3494
applic	0.3538
product	0.3633
had	0.3635
deriv	0.364
encod	0.3694
posit	0.3706
locat	0.371
profil	0.3762
short	0.3787
four	0.3809
qualiti	0.3823
novel	0.3857
three	0.387
isol	0.393
test	0.3984
complex	0.3987
mediat	0.3994
long	0.4001
valu	0.4019
higher	0.411
approach	0.4128
integr	0.419
length	0.4194
human	0.4194
code	0.4246
chang	0.4294
decreas	0.4387
number	0.4421
construct	0.4429
clone	0.445
organ	0.448
detect	0.449
assay	0.4495
effect	0.4604
divers	0.4631
growth	0.4639
polymorph	0.467
origin	0.4695
dure	0.4707
against	0.472
structur	0.4724
no	0.4753
non	0.4858
tool	0.4858
factor	0.4875
recombin	0.499
collect	0.4995
homolog	0.4998
differenti	0.5073
correl	0.5073
time	0.511
conserv	0.5166
data	0.52
cultiv	0.53
phenotyp	0.5317
ortholog	0.543
site	0.5435
biotic	0.5454
transcriptom	0.552
adapt	0.553
evolutionari	0.5664
set	0.569
induc	0.5703
abund	0.571
predict	0.5728
seq	0.577
system	0.5776
select	0.58
repeat	0.5835
candid	0.5874
sensit	0.5913
evolut	0.596
regulatori	0.5977
food	0.606
bind	0.6094
small	0.61
composit	0.614
breed	0.6167
condit	0.6265
tissu	0.6304
model	0.645
event	0.648
activ	0.6484
amino	0.652
treatment	0.6543
variat	0.6553
arabidopsi	0.656
region	0.6562
technolog	0.665
enzym	0.6655
yield	0.666
group	0.6763
like	0.6772
earli	0.681
pathway	0.6816
varieti	0.689
annot	0.6904
locu	0.6914
diverg	0.6943
rate	0.697
accumul	0.7007
linkag	0.7104
member	0.7104
abiot	0.7124
leav	0.7227
method	0.7363
cluster	0.7456
effici	0.7515
loci	0.755
signal	0.759
suscept	0.76
interact	0.7603
overexpress	0.77
chromosom	0.7734
under	0.7734
cultivar	0.7783
network	0.7837
motif	0.789
low	0.802
stage	0.809
refer	0.8174
environ	0.82
popul	0.8213
diseas	0.8325
line	0.8354
promot	0.836
trait	0.838
metabol	0.841
biosynthesi	0.846
genotyp	0.8486
access	0.8564
element	0.8755
pair	0.88
wild	0.8804
rna	0.908
type	0.911
common	0.9414
target	0.954
dna	0.955
pathogen	0.9595
size	0.987
matur	0.9966
defens	1.049
content	1.062
domain	1.065
mutat	1.079
assembl	1.114
infect	1.118
leaf	1.129
transgen	1.137
cell	1.174
acid	1.179
map	1.2
marker	1.229
transport	1.28
allel	1.283
mutant	1.292
nitrogen	1.293
legum	1.301
root	1.302
duplic	1.306
toler	1.346
seed	1.503
snp	1.615
flower	1.668
oil	1.745
resist	1.746
qtl	1.887
drought	1.951
nodul	2.404
littl	-0.03943
taken	-0.03317
unclear	-0.03082
shed	-0.02618
foundat	-0.02518
seriou	-0.0249
understood	-0.02454
interestingli	-0.02325
conclusionsth	-0.02165
poorli	-0.02016
conclus	-0.01643
resultsw	-0.0119
resultsin	-0.0115
lay	-0.0101
uncov	-0.001355
still	0.001377
take	0.002415
dramat	0.004066
fulli	0.006775
therebi	0.00741
ubiquit	0.01004
overal	0.01058
paper	0.01163
rather	0.01225
consider	0.012726
widespread	0.01282
extens	0.01407
real	0.01495
attent	0.01515
subsequ	0.01538
edibl	0.01767
mostli	0.0193
aim	0.01996
focu	0.02083
survey	0.02354
vital	0.02605
view	0.02777
particularli	0.028
almost	0.02873
elucid	0.0335
divid	0.03372
largest	0.03424
goal	0.03558
open	0.03638
yet	0.0391
compris	0.03925
overview	0.04007
perspect	0.04285
then	0.04407
concern	0.0446
advantag	0.04575
subject	0.04593
ensur	0.0476
few	0.0487
conclud	0.0488
opportun	0.04953
implic	0.05002
prevent	0.05475
undergon	0.05554
expand	0.05618
coupl	0.05713
ontolog	0.0589
doe	0.05923
fundament	0.05988
certain	0.06094
least	0.06128
mean	0.06198
promis	0.0629
despit	0.06445
sativa	0.0646
simpl	0.06476
focus	0.06555
publicli	0.0659
henc	0.06903
abl	0.0691
though	0.0692
strongli	0.07025
now	0.07086
spectrometri	0.0718
detail	0.0719
name	0.07227
object	0.0729
so	0.0733
ecolog	0.0733
particular	0.07336
serv	0.0735
difficult	0.07367
made	0.07513
great	0.0762
extent	0.07947
good	0.07947
typic	0.07996
substanti	0.08
attribut	0.08044
necessari	0.0817
rapidli	0.0824
cover	0.0834
strong	0.0839
accompani	0.0844
occurr	0.0855
way	0.0867
polymeras	0.088
around	0.08813
meet	0.0897
benefit	0.09033
disequilibrium	0.0922
rare	0.09235
public	0.0924
even	0.093
numer	0.0932
case	0.0933
where	0.0936
accord	0.0939
extend	0.0939
issu	0.0958
leucin	0.0959
becom	0.0967
maximum	0.0974
last	0.09796
heterodera	0.09924
basic	0.09973
interfer	0.1004
nearli	0.1004
past	0.1007
summari	0.10095
probabl	0.1033
manner	0.10333
except	0.1042
summar	0.1048
implement	0.1057
primarili	0.1062
verifi	0.10626
heterolog	0.1069
ani	0.107
far	0.1075
hypothes	0.1086
advers	0.1089
sinc	0.1091
predominantli	0.1104
acceler	0.1108
recogn	0.111
commerci	0.1123
frequent	0.1129
mine	0.1145
newli	0.115
would	0.115
mass	0.11554
lack	0.117
coordin	0.1175
introduct	0.1177
offer	0.11774
greatli	0.11786
thousand	0.11816
befor	0.11847
overcom	0.1188
capabl	0.1193
notabl	0.11945
systemat	0.12036
address	0.121
possess	0.12305
throughout	0.1236
clear	0.1245
should	0.1247
share	0.1251
led	0.1251
make	0.1259
impli	0.1287
driven	0.1287
start	0.1294
much	0.1315
complement	0.1323
aid	0.1323
life	0.1324
purpos	0.1326
anoth	0.1327
interest	0.1329
along	0.1339
employ	0.1343
directli	0.1353
downstream	0.1355
consequ	0.1364
half	0.1368
crucial	0.1376
robust	0.1392
catalyz	0.1394
given	0.1403
part	0.1406
kegg	0.1407
greater	0.141
assign	0.1417
abscis	0.1432
reactiv	0.146
do	0.1472
synthes	0.1475
often	0.1476
vari	0.1489
pressur	0.149
publish	0.1506
aspect	0.1509
intern	0.151
particip	0.1512
appear	0.1514
harbor	0.1515
best	0.1517
toward	0.152
simultan	0.1531
breeder	0.1554
biochem	0.1556
shift	0.1564
correspond	0.1572
larger	0.1572
regard	0.1575
constitut	0.1589
separ	0.1598
decad	0.1602
less	0.1606
consid	0.1619
without	0.1627
either	0.1631
state	0.1636
account	0.1644
industri	0.1648
qrt	0.1652
influenc	0.1653
whose	0.1654
redund	0.1664
minor	0.1666
exampl	0.1667
absenc	0.1667
manipul	0.1675
expect	0.1693
commonli	0.1702
display	0.1731
drive	0.1741
impact	0.1746
question	0.1757
did	0.176
besid	0.1768
earlier	0.1769
tempor	0.178
japonicu	0.178
depth	0.1782
preferenti	0.1798
maintain	0.1799
hundr	0.1803
dissect	0.1804
undergo	0.181
benefici	0.1825
guid	0.1836
classifi	0.1854
favor	0.1865
modern	0.1869
whether	0.1881
illustr	0.1898
incorpor	0.1907
defin	0.1914
grow	0.1936
cost	0.194
relev	0.1947
modifi	0.1974
introduc	0.1975
central	0.1978
propos	0.1978
achiev	0.1989
degre	0.199
rapid	0.1995
oryza	0.2031
silico	0.2048
near	0.2051
demand	0.2054
chapter	0.2058
consumpt	0.208
consum	0.2084
suffici	0.2091
discov	0.2095
exploit	0.2097
highest	0.2106
entir	0.2108
illumina	0.2131
grown	0.2133
truncatula	0.2151
veri	0.2153
twenti	0.2155
power	0.2156
desir	0.2156
effort	0.2161
order	0.219
sustain	0.219
next	0.2191
experienc	0.2192
creat	0.2216
unit	0.2219
upon	0.2224
transduct	0.2228
histori	0.2242
purifi	0.2257
accur	0.2262
stimuli	0.2285
compos	0.2299
second	0.2301
assess	0.2323
materi	0.2335
abil	0.2339
