	tf
stress	4927
seed	3577
resist	3321
root	2775
map	2492
marker	2321
qtl	2242
acid	2210
toler	2086
legum	1909
nodul	1709
drought	1693
snp	1607
flower	1578
duplic	1496
content	1458
cell	1433
mutant	1248
mirna	1226
allel	1201
oil	1194
salt	1151
transgen	1150
domain	1058
bean	798
infect	793
transport	788
nitrogen	752
leaf	727
flood	724
assembl	691
scn	668
mutat	666
pi	635
defens	610
water	578
day	553
domest	543
glyma	539
proteom	536
rice	531
concentr	469
seedl	466
class	461
ssr	461
methyl	442
pod	439
host	437
kinas	437
aba	437
fatti	416
copi	410
germin	402
nematod	401
defici	398
shoot	392
peptid	386
silenc	380
smv	368
transform	365
salin	364
clade	359
edit	358
wall	357
intron	356
gwa	355
crispr	347
wrki	346
insert	340
tf	338
receptor	331
variant	324
mrna	321
fixat	319
al	311
angiosperm	310
grain	309
cm	307
haplotyp	305
heat	302
deg	301
isoflavon	297
temperatur	296
phytophthora_soja	295
auxin	292
viru	287
iron	285
hairi	284
photoperiod	274
rhizobia	268
cold	266
aphid	258
cas9	256
nuclear	256
glycine_max	256
box	253
chickpea	246
strain	245
wheat	242
myb	241
cd	239
lrr	238
mg	233
coat	232
rhg1	228
maiz	225
nb	225
sugar	223
medicago_truncatula	221
subunit	215
wgd	215
ethylen	212
omic	211
cotton	205
chlorophyl	204
fruit	202
floral	201
te	200
sa	199
flavonoid	196
cotyledon	192
metal	192
senesc	191
polyploid	190
pea	188
fe	184
splice	180
bac	179
height	177
tomato	177
cowpea	176
sucros	174
nil	171
est	166
dehydr	165
color	165
ft	163
sd	162
primer	162
e1	161
chloroplast	161
polyploidi	160
isoform	160
eudicot	158
phosphoryl	158
embryo	157
peanut	157
steril	156
chr	156
indel	155
effector	155
accuraci	155
hair	154
wt	154
oleic	154
gm	153
ro	153
male	152
ph	152
deficit	149
alkalin	148
tobacco	148
br	148
ga	147
arabidopsis_thaliana	144
mapk	143
calcium	141
lupin	139
parasit	138
retrotransposon	137
gb	137
cystein	136
hypocotyl	136
insect	136
sirna	136
ld	134
er	134
ms	132
ng	131
circadian	130
qtn	130
ja	129
nac	129
nitrat	125
et	122
ltr	121
unigen	118
gma	118
starvat	118
linolen	117
phenylpropanoid	115
histon	115
e3	114
mm	113
tip	113
ca	113
fad2	112
isoflavonoid	112
red	112
lg	111
lncrna	109
mitochondri	108
anthocyanin	108
proteas	107
miner	107
yellow	107
rlk	106
epistat	105
mungbean	105
consensu	105
clock	105
hg	104
cle	103
fabacea	102
gs	100
ubiquitin	100
mad	98
nf	98
saponin	98
fiber	98
transposon	98
fill	97
gfp	96
glycine_soja	96
na	95
atp	95
grass	95
tocopherol	95
poplar	95
snap	94
starch	94
potato	94
pa	94
plastid	93
erf	93
ca2	92
shatter	91
cytosol	91
alfalfa	90
stomat	89
phaseolus_vulgari	88
iv	88
cytokinin	88
lignin	88
iaa	88
white	88
uv	87
colon	87
shade	87
ugt	86
e2	85
stearic	85
phakopsora_pachyrhizi	85
bodi	85
p450	84
inositol	84
cleavag	83
somat	83
oe	82
barley	82
rust	81
arachi	81
channel	80
bzip	80
heavi	80
ribosom	79
pigeonpea	79
gst	78
embryogenesi	78
brown	77
semi	77
gmft2a	77
recoveri	77
melatonin	77
rp	76
gossypium	75
fa	74
phytic	74
restor	74
idc	73
populu	73
vs	73
mn	73
orthologu	72
brassica	72
medium	71
sg	71
incompat	71
vig	71
helix	70
atpas	70
si	70
radiat	70
dwarf	70
am	70
palmit	70
protoplast	70
gt	70
expansin	69
tc	68
n2	68
faba	67
lodg	67
rhg4	67
subgenom	67
ch	66
wilt	66
heterodera_glycin	66
pc	66
cation	66
purpl	66
perenni	65
phytat	65
se	65
ureas	65
zone	65
bhlh	64
carotenoid	64
mate	64
dehisc	63
peke	63
lectin	62
ssp	62
asr	61
ppr	61
np	61
lotus_japonicu	61
lpa	61
aluminum	61
clover	61
sulfur	61
sod	60
palm	60
regener	60
acetyl	60
allergen	60
lp	60
bin	60
cl	59
degradom	59
methionin	59
till	59
sl	58
waterlog	58
nod	58
nucleas	58
melon	58
raffinos	58
abc	57
mt	57
pectin	57
gmfad2	57
appl	57
sulfat	56
irradi	56
adzuki	56
pal	56
slaf	56
cucumb	56
cadmium	55
gmnac	55
zn	55
chi	55
cellulos	55
circrna	55
arf	55
meta	54
pepc	54
conglycinin	54
dormanc	53
foliar	53
lysin	53
c2h2	53
r2r3	52
o3	52
glyceollin	52
dt1	52
hub	52
rfo	52
srna	52
sw	52
f1	52
gra	51
infloresc	51
gmft5a	51
co2	51
zip	51
prr	51
petiol	51
glyoxalas	50
hr	50
glycinin	50
black	50
lipoxygenas	49
xylem	49
ac	49
ccw	49
alkali	49
ureid	49
cat	49
diurnal	49
r2	49
c2	48
mite	48
fals	48
urea	48
nat	48
acyltransferas	47
gymnosperm	47
cc	47
snf	47
bacteroid	47
rsv1	47
hard	47
rhizospher	47
mip	47
leaflet	47
submerg	47
hd	47
rnase	46
sweep	46
prime	46
puls	45
ln	45
orf	45
t2	45
soybas	45
pin	44
petal	44
rosacea	44
gmrav	44
cssl	44
sweet	44
toc	44
potassium	44
dgat	44
gα	44
trichom	44
heterosi	43
aon	43
biotyp	43
me	43
cyp	43
pubesc	43
aqp	43
e4	43
pcd	42
lentil	42
sam	42
cystatin	42
nn	42
fusarium_virguliform	42
canopi	42
ripen	42
hsf	42
rkn	41
ht	41
herbicid	41
herbivor	41
phasirna	41
tea	41
sugarcan	41
trial	41
weed	41
ge	41
kg	40
rn	40
cam	40
ring	40
sr	40
t1	40
instanc	39
count	39
embryon	39
pp2c	39
terpen	39
apoplast	39
freez	39
phenom	38
b3	38
symbiosom	38
rtm	38
myo	38
nin	38
ck	38
rpp1	38
ab	38
flax	38
tyr	38
aromat	38
rsv3	38
subclad	38
pap	37
poacea	37
sesam	37
al2o3	37
burp	37
copia	37
cnv	37
phosphoproteom	37
dehydrin	37
genistein	36
agp	36
vq	36
dtf	36
ef1α	36
tir	36
indetermin	36
acc	36
conjug	36
nest	36
brachypodium	35
soyasaponin	35
sm	35
tp	35
ahl	35
hsp70	35
cu	35
deleteri	35
aux	35
soya	35
neutron	35
vigor	35
cook	35
cy	35
fn	34
permeabl	34
nanoparticl	34
nl	34
hypoxia	34
rsv4	34
cs	34
spl	34
mlo	34
sv	34
dosag	34
millet	34
explant	34
citrat	34
sap	34
rf	34
sacpd	34
glucosid	34
p34	34
strawberri	34
h3	34
tfl1	34
meloidogyne_incognita	34
bnf	33
tcp	33
alanin	33
distort	33
cassava	33
gmsacpd	33
ag	33
lea	33
emiss	33
autophagi	33
gossypium_hirsutum	33
train	33
extra	33
rlp	33
gametophyt	33
dt	33
terpenoid	33
dof	33
c4	33
phosphoprotein	33
st	33
gmsalt3	32
endo	32
citru	32
grna	32
grapevin	32
cbl	32
acbp	32
cryptochrom	32
absciss	32
physcomitrella_paten	32
invertas	32
acp	32
svp	32
wri1	32
mrp	32
ni	32
malat	32
zfp	31
zfn	31
aldehyd	31
rag1	31
rag2	31
lec1	31
rga	31
rapese	31
triterpenoid	31
gi	31
chh	31
stachyos	30
selaginella	30
al3	30
carrot	30
bip	30
ozon	30
xyloglucan	30
pd	30
watermelon	30
gmsnap11	30
met	30
papilionoid	30
plot	30
sar	30
mir166	30
ft2a	30
snare	30
closur	30
flavonol	30
tgm9	30
turnov	30
smoke	30
dap	30
tifi	29
dongnong	29
oa	29
lethal	29
nadp	29
callu	29
aco	29
ox	29
hilum	29
gmsnap18	29
t0	29
chitin	29
lt	29
bradyrhizobium_japonicum	29
mi	29
gtpase	29
tmt3	29
ext	29
dt2	29
qph	29
rg	29
hb	29
gypsi	29
pedigre	28
copper	28
autonom	28
acclim	28
tm	28
cog	28
psii	28
yb	28
trna	28
chitinas	28
castor	28
pebp	28
glucosyltransferas	28
mlg	28
nahco3	28
ppi	28
nsf	28
callos	28
hai	28
fm	28
glycitein	28
sclerotiorum	28
disord	28
disulfid	27
cnl	27
proanthocyanidin	27
crossov	27
amp	27
peach	27
nhx	27
silicon	27
ovul	27
antisens	27
sut	27
kefeng	27
strigolacton	27
bicarbon	27
lupinus_angustifoliu	27
imput	27
cacao	27
glucan	27
brassica_rapa	27
eqtl	27
mung	26
spc	26
sgrna	26
trihelix	26
band	26
ppo	26
bpmv	26
beet	26
sprout	26
matric	26
lj	26
smrna	26
rj4	26
ic	26
phosphatidylinositol	26
trnase	26
m2	26
blp	26
saur	26
brazilian	26
pdi	26
hsw	26
cucurbitacea	26
w82	26
hdac	26
annexin	26
qihuang	26
cipk	25
rs2	25
eu3	25
wax	25
gmnac81	25
rpp4	25
atareb1	25
oscil	25
ap	25
cyclin	25
mule	25
cuc2	25
quinoa	25
dose	25
iib	25
fad3	25
homeobox	25
interactom	25
arachis_duranensi	25
diagnost	25
trim	25
sclerotinia_sclerotiorum	25
crk	25
dead	24
ax	24
gmgbp1	24
r1	24
rc	24
spectral	24
desicc	24
tap	24
dpi	24
lox	24
tofu	24
packag	24
apx	24
lac	24
lr	24
pve	24
su	24
dmr	24
gmmyb176	24
amf	24
ss	24
camta	24
peroxisom	24
f4	24
chill	24
natto	24
oac	24
pg	24
tuber	24
g19833	24
ap1	24
cool	23
caleosin	23
gy	23
sterol	23
ft5a	23
h1	23
pmd	23
cr	23
npa	23
dmg	23
ef	23
bc	23
oleosin	23
tr	23
sph	23
w4	23
mir1511	23
pangenom	23
shsp	23
peptidas	23
cre	23
wgr	23
radicl	23
soykb	23
iqd	23
g7	22
dir	22
clark	22
nll	22
sunflow	22
aldh	22
fructos	22
edamam	22
kd	22
bcmv	22
solanum_lycopersicum	22
njcms1a	22
isolin	22
papaya	22
vpd	22
cdpk	22
tnt1	22
sc	22
amirna	22
sort	22
amylas	22
brassica_napu	22
gmo	22
oxygenas	22
gaba	22
pme	22
plasmid	22
groundnut	21
syncytium	21
gsh	21
infiltr	21
sbr	21
helicas	21
gmnf	21
ct	21
gmnark	21
secretori	21
gt8	21
sc3	21
hs	21
dai	21
rboh	21
horticultur	21
pulvinu	21
insecticid	21
cuscuta	21
kea	21
iso	21
dtm	21
genbank	21
pha	21
phb	21
pongamia	21
wood	21
gatl	21
kaempferol	21
cn	21
smt2	21
mtase	21
pk	21
rpl4	21
bitter	21
gmfwl1	21
glucanas	21
soc1	21
bri1	21
mymiv	20
lysm	20
desi	20
memori	20
dt2008	20
yabbi	20
glyphos	20
graph	20
pav	20
pm	20
lsd	20
guar	20
nue	20
flavon	20
nut	20
pri	20
dgat1	20
oci	20
frk	20
hsp90	20
ir	20
la	20
agrobacterium_rhizogen	20
ndr1	20
yl	20
li	20
polygalacturonas	20
primordium	20
osmoprotect	20
aconitas	20
pdh1	20
arc	20
rpp	20
axi	20
avr1d	20
colour	20
snrk2	20
sine	20
tubulin	20
syntaxin	20
tw	20
cesa	20
rav	20
sbdv	20
subtilisin	20
biophoton	19
depress	19
lincrna	19
rbr	19
aroma	19
kabuli	19
integu	19
axe	19
dcl	19
lux	19
revert	19
gmap2	19
vein	19
gh3	19
cgi	19
rpp2	19
ndw	19
aerenchyma	19
ala	19
ploidi	19
msn	19
dha	19
glb	19
bs	19
mir156	19
hl	19
spx	19
dhdp	19
hook	19
pear	19
thylakoid	19
gramen	19
gmpt7	19
gγ	19
transposas	19
grf	19
asa	19
arsen	19
gray	19
cuc	19
qdrl	19
fiskebi	18
spatholobus_suberectu	18
sc7	18
gmap1	18
beam	18
alsv	18
arg	18
gmsoc1	18
astragalu	18
silver	18
gssrk	18
cml	18
psi	18
upr	18
zl	18
binari	18
sn	18
determinaci	18
p1	18
gmmyb133	18
hect	18
mir394	18
gr	18
pcg	18
gata	18
b12d	18
cytoskeleton	18
cacta	18
banana	18
adp	18
il	18
night	18
motor	17
soft	17
fl	17
cp	17
cpa	17
phya	17
wue	17
gland	17
aflp	17
mapkkk	17
mannanas	17
flg22	17
winter	17
aco4	17
mir396	17
gpat	17
wip	17
poz	17
uncondit	17
pif4	17
cca1	17
br16	17
fusarium_oxysporum	17
gigantea	17
