    entropy_rank    experimental_rank
the    3    3
of     1    1
and    2    2
in     4    4
to     5    5
gene   10    32
soybean    16    73
for    7    11
that    6    8
plant    13    39
were    17    49
with    8    9
is    9    7
genom    31    142
express    30    99
by    12    12
protein    40    265
wa    25    43
as    18    28
we    15    18
are    20    30
thi    11    6
use    23    25
from    21    23
stress    74    585
on    19    20
identifi    24    26
studi    14    10
sequenc    38    151
these    22    13
analysi    32    38
function    36    62
be    27    17
an    26    14
develop    34    42
respons    47    161
have    33    31
seed    125    967
which    28    19
resist    175    1397
genet    52    136
result    29    15
regul    53    131
two    41    64
it    42    61
root    134    761
differ    45    66
transcript    66    188
import    35    21
famili    86    311
speci    72    201
show    39    37
crop    67    183
associ    69    167
map    137    670
been    43    45
their    48    65
at    51    72
or    46    53
marker    146    738
ha    50    54
role    49    52
trait    106    340
high    58    89
qtl    257    1794
provid    37    16
acid    147    673
specif    75    126
toler    186    903
between    61    79
under    112    313
also    44    24
increas    76    119
region    98    225
level    80    122
base    63    68
relat    78    109
improv    79    107
legum    195    876
involv    57    50
includ    54    34
breed    110    214
line    135    384
select    107    200
data    96    168
reveal    55    35
into    59    41
molecular    71    67
one    65    46
nodul    458    3391
suggest    62    40
drought    348    2126
activ    120    258
our    60    33
chromosom    138    352
factor    104    158
other    70    55
both    83    82
glycin    64    36
most    68    48
snp    286    1424
arabidopsi    124    260
flower    310    1533
compar    82    70
three    102    127
not    81    63
indic    77    47
pathway    140    299
can    87    78
duplic    240    964
popul    166    414
mechan    91    90
howev    56    22
found    90    87
growth    118    164
content    211    648
dure    119    171
but    84    56
cell    228    789
major    89    69
genotyp    179    458
type    190    513
may    94    84
process    113    112
gener    111    98
addit    85    51
product    117    133
like    156    319
rna    193    520
yield    157    317
effect    127    170
control    115    115
than    97    81
cultivar    178    399
among    99    85
max    73    29
interact    176    379
all    103    86
structur    136    185
more    100    80
induc    149    248
group    172    331
conserv    143    216
number    139    176
present    93    60
target    222    599
mutant    280    996
character    114    91
candid    159    275
such    109    76
condit    168    305
signal    189    405
wide    95    59
sever    108    75
mirna    792    6245
further    92    44
pattern    129    138
total    123    128
allel    289    1002
time    155    224
oil    401    1787
tissu    181    335
play    101    57
loci    200    404
promot    216    492
phenotyp    162    246
understand    105    58
divers    152    202
contain    126    120
salt    478    2455
transgen    261    821
analys    121    101
new    133    129
metabol    219    502
abiot    203    393
encod    145    155
differenti    171    236
well    116    71
here    88    27
singl    130    105
model    199    346
wild    239    578
chang    163    194
potenti    128    94
domain    273    766
through    132    100
detect    174    207
approach    169    195
report    122    74
larg    141    103
organ    184    222
evolut    209    324
variat    217    372
transcriptom    202    302
novel    177    190
will    142    106
significantli    161    148
quantit    131    77
system    214    327
higher    188    210
signific    154    116
respect    150    114
research    182    173
predict    218    330
variou    170    140
low    251    539
mani    148    93
access    274    583
known    153    95
dna    304    721
element    281    612
four    197    205
could    165    117
enhanc    192    187
inform    173    130
key    144    83
recent    164    108
phylogenet    187    157
biolog    196    192
stage    277    561
highli    158    96
perform    160    97
investig    151    88
varieti    252    467
onli    167    104
locu    254    456
accumul    258    475
method    265    490
common    327    705
member    275    485
complex    223    244
some    185    125
bean    533    2123
biosynthesi    317    634
overexpress    291    548
infect    372    940
transport    412    1156
demonstr    180    111
resourc    215    198
multipl    201    150
avail    207    163
nucleotid    198    147
polymorph    236    289
effici    296    540
within    212    166
reduc    213    180
while    183    102
enzym    283    470
affect    194    134
similar    206    153
nitrogen    434    1207
analyz    191    124
locat    229    232
profil    230    235
non    247    321
identif    205    143
determin    226    196
deriv    232    228
leaf    403    991
observ    208    145
evolutionari    267    380
flood    995    5944
leav    316    526
posit    237    247
event    295    469
after    238    237
homolog    260    344
regulatori    287    413
bind    294    443
pathogen    376    788
assembl    410    981
contribut    204    121
treatment    314    482
tool    268    339
local    241    231
each    233    186
technolog    322    506
whole    227    159
put    235    191
environ    355    657
scn    924    4742
qualiti    250    271
mutat    415    951
caus    225    154
limit    221    141
annot    330    525
recombin    284    362
diseas    356    655
pcr    245    238
repeat    315    427
rel    242    199
had    255    261
across    248    227
combin    246    220
pi    725    2942
linkag    343    568
first    224    132
adapt    319    416
network    367    633
furthermor    210    92
refer    381    681
five    253    219
find    220    118
defens    444    961
distribut    249    197
site    325    423
exhibit    231    135
matur    427    891
cluster    370    609
up    264    245
motif    385    672
they    244    172
no    321    376
mediat    301    323
water    516    1318
earli    371    570
set    341    468
applic    297    297
seq    347    481
amino    369    544
cultiv    340    426
size    453    919
decreas    323    353
day    469    994
food    359    509
environment    299    279
remain    234    113
review    285    241
rate    387    591
produc    309    291
repres    256    165
domest    607    1771
those    278    203
diverg    393    608
glyma    651    2025
loss    312    284
form    307    272
proteom    536    1350
previous    262    175
rice    484    1008
integr    336    357
relationship    308    263
assist    269    179
