	tf
the	55154
of	46043
and	45390
in	36462
to	22241
gene	17409
soybean	12699
for	11005
that	10671
plant	9520
were	9361
with	9038
is	8435
genom	7593
express	6594
by	6163
protein	6132
wa	6103
as	5773
we	5751
are	5662
thi	5617
use	4973
from	4930
stress	4927
on	4912
identifi	4862
studi	4854
sequenc	4610
these	4177
analysi	3994
function	3828
be	3800
an	3691
develop	3677
respons	3660
have	3587
seed	3577
which	3465
resist	3321
genet	3116
result	3053
regul	3028
two	2819
it	2785
root	2775
differ	2746
transcript	2730
import	2726
speci	2676
famili	2676
show	2634
crop	2613
associ	2518
map	2492
been	2471
their	2466
at	2452
or	2407
marker	2321
ha	2289
role	2276
trait	2267
high	2257
qtl	2242
provid	2227
acid	2210
specif	2098
toler	2086
between	2084
under	2078
also	2036
increas	2013
region	1981
level	1978
base	1944
relat	1925
improv	1915
legum	1909
involv	1905
includ	1829
breed	1819
line	1804
select	1779
data	1778
reveal	1771
into	1765
molecular	1763
one	1728
nodul	1709
suggest	1701
drought	1693
activ	1687
our	1684
chromosom	1680
factor	1663
other	1654
both	1629
glycin	1609
most	1608
snp	1607
arabidopsi	1592
flower	1578
compar	1578
three	1540
not	1521
indic	1508
pathway	1500
can	1497
popul	1496
duplic	1496
mechan	1487
howev	1487
found	1471
growth	1459
content	1458
dure	1450
but	1445
cell	1433
major	1422
genotyp	1401
type	1384
may	1381
process	1379
gener	1364
addit	1363
product	1360
like	1356
rna	1352
yield	1350
effect	1344
control	1337
cultivar	1331
than	1331
among	1330
max	1325
interact	1320
structur	1313
all	1313
more	1292
induc	1273
group	1267
conserv	1260
number	1256
present	1253
target	1249
mutant	1248
character	1247
candid	1247
such	1240
condit	1238
signal	1235
wide	1232
sever	1226
mirna	1226
further	1223
pattern	1202
allel	1201
total	1201
time	1195
oil	1194
tissu	1184
play	1181
loci	1176
promot	1169
phenotyp	1167
understand	1163
divers	1162
contain	1156
salt	1151
transgen	1150
analys	1149
new	1147
metabol	1144
abiot	1121
encod	1111
differenti	1109
well	1101
here	1098
singl	1095
model	1077
chang	1076
wild	1076
potenti	1066
domain	1058
through	1055
detect	1047
approach	1043
report	1019
larg	997
organ	996
evolut	995
variat	993
transcriptom	987
novel	984
will	978
significantli	970
quantit	961
system	956
higher	940
signific	939
respect	935
research	931
predict	930
variou	920
low	917
mani	900
access	894
known	889
dna	888
element	885
four	884
could	879
enhanc	875
inform	871
recent	862
key	862
phylogenet	861
biolog	859
stage	858
highli	856
perform	853
investig	849
varieti	846
onli	839
locu	834
accumul	828
method	825
common	805
member	801
complex	800
bean	798
some	798
biosynthesi	796
overexpress	795
infect	793
transport	788
demonstr	784
resourc	784
multipl	775
avail	774
nucleotid	774
polymorph	774
effici	767
reduc	763
within	763
while	759
enzym	756
affect	753
nitrogen	752
similar	752
analyz	748
profil	748
locat	748
non	737
identif	733
determin	732
deriv	730
leaf	727
observ	726
evolutionari	725
flood	724
posit	723
leav	723
event	712
after	705
homolog	704
regulatori	702
bind	702
pathogen	696
contribut	691
assembl	691
treatment	688
tool	685
local	682
each	679
technolog	674
whole	672
put	670
scn	668
environ	668
qualiti	667
mutat	666
caus	665
limit	660
annot	659
recombin	658
diseas	658
pcr	657
repeat	649
rel	641
across	641
had	641
combin	639
pi	635
linkag	632
first	626
adapt	624
network	622
furthermor	613
refer	612
five	612
find	612
defens	610
distribut	607
site	607
exhibit	604
matur	603
cluster	602
up	596
motif	595
they	587
no	584
mediat	579
water	578
earli	573
set	568
applic	566
seq	565
amino	563
size	562
cultiv	562
decreas	558
food	553
day	553
environment	551
remain	550
review	548
produc	548
rate	548
repres	543
domest	543
those	542
diverg	541
glyma	539
loss	539
proteom	536
form	536
previous	534
rice	531
integr	531
relationship	527
assist	526
co	525
over	524
sourc	523
there	519
small	516
insight	513
pair	512
about	510
underli	508
sensit	508
essenti	506
confirm	501
basi	500
evalu	500
compon	497
length	495
six	494
abund	493
year	492
cross	491
futur	491
clone	487
possibl	483
suscept	482
might	481
databas	479
composit	478
thu	477
strategi	475
due	473
util	472
construct	470
concentr	469
long	468
consist	466
seedl	466
them	465
current	465
physiolog	463
although	463
collect	462
occur	462
ssr	461
class	461
requir	457
against	454
development	450
valu	450
code	449
rang	449
methyl	442
comprehens	442
origin	441
natur	439
facilit	439
pod	439
lead	439
togeth	438
host	437
biotic	437
kinas	437
aba	437
when	434
moreov	433
obtain	432
help	430
merr	430
correl	430
stem	427
germplasm	426
program	426
depend	421
ortholog	419
distinct	419
weight	416
fatti	416
advanc	415
test	411
via	411
copi	410
isol	410
valid	409
design	408
germin	402
discuss	401
nematod	401
describ	400
assay	400
evid	399
membran	398
defici	398
knowledg	397
wherea	395
format	395
follow	394
synthesi	394
agricultur	393
shoot	392
modul	390
short	386
peptid	386
human	384
allow	384
examin	384
therefor	382
uniqu	382
silenc	380
how	376
support	376
thaliana	375
subfamili	374
field	374
ril	372
soil	370
global	368
conduct	368
smv	368
comparison	367
lineag	365
transform	365
light	364
salin	364
rich	363
explor	363
clade	359
edit	358
read	358
wall	357
intron	356
work	356
hormon	355
mainli	355
gwa	355
especi	354
enrich	353
ci	353
alter	353
ii	350
lower	349
carri	349
agronom	348
parent	347
main	347
crispr	347
wrki	346
metabolit	344
eight	342
term	342
insert	340
inbr	339
establish	339
tf	338
kb	338
inocul	337
critic	337
better	335
enabl	334
confer	333
seven	333
appli	332
receptor	331
valuabl	331
presenc	330
need	330
complet	330
featur	329
neg	329
close	328
world	328
out	328
link	327
symbiot	326
veget	325
same	324
variant	324
hybrid	323
sampl	323
mrna	321
segment	321
act	320
becaus	319
fixat	319
challeng	317
contrast	316
shown	316
techniqu	315
nutrit	314
individu	313
initi	312
expans	312
al	311
angiosperm	310
experi	309
grain	309
synthas	308
delet	307
cm	307
inhibit	307
throughput	306
haplotyp	305
econom	305
order	304
exist	304
symbiosi	304
success	303
belong	303
heat	302
scale	301
deg	301
densiti	299
isoflavon	297
screen	297
worldwid	296
temperatur	296
phytophthora_soja	295
classifi	294
bioinformat	294
assess	293
correspond	292
auxin	292
highlight	290
de	290
unknown	288
veri	287
viru	287
previou	286
iron	285
hairi	284
tag	282
propos	282
down	282
final	281
physic	281
characterist	279
crucial	278
nutrient	276
display	276
impact	275
architectur	274
photoperiod	274
reduct	271
strong	271
upregul	271
direct	270
secondari	270
segreg	269
suppress	269
rhizobia	268
bp	268
cold	266
real	266
reaction	265
aim	264
interv	264
soja	263
consid	262
independ	262
next	262
photosynthesi	261
elucid	261
few	260
termin	260
cellular	260
fine	259
translat	259
approxim	258
fix	258
feed	258
aphid	258
averag	258
extens	258
object	258
modif	257
anim	257
less	257
medicago	257
nuclear	256
librari	256
glycine_max	256
cas9	256
then	254
explain	253
box	253
million	253
discoveri	253
evolv	253
engin	252
emerg	252
exon	252
littl	250
influenc	248
search	248
gain	248
share	248
appear	247
oxid	247
tree	247
chickpea	246
overal	246
qrt	246
discov	245
strain	245
where	243
name	243
grown	242
part	242
wheat	242
subsequ	241
myb	241
rapid	241
least	240
cd	239
normal	239
lrr	238
lack	238
primari	237
eukaryot	236
f2	234
either	234
post	233
mg	233
grow	233
nine	233
interest	233
coat	232
align	231
rt	230
vari	229
mb	229
green	228
paralog	228
rhg1	228
maintain	227
progress	226
still	226
nb	225
along	225
maiz	225
acceler	225
per	224
end	224
detail	224
made	223
induct	223
stabl	223
sugar	223
constitut	223
measur	222
medicago_truncatula	221
phosphat	221
taken	221
reproduct	218
achiev	218
tandem	218
free	218
simpl	217
platform	217
compris	216
effort	215
respond	215
wgd	215
subunit	215
iii	214
toward	214
land	214
area	214
ethylen	212
particularli	212
dataset	212
yeast	211
omic	211
core	211
william	211
fragment	210
ratio	210
abil	209
point	209
treat	208
near	208
highest	207
sustain	207
would	206
fold	206
immun	206
date	205
amount	205
cotton	205
climat	205
us	205
chlorophyl	204
make	203
storag	203
background	203
fruit	202
revers	202
led	202
carbon	202
floral	201
domin	201
compound	200
te	200
properti	199
sa	199
dynam	199
lipid	198
systemat	196
optim	196
photosynthet	196
flavonoid	196
microrna	195
often	195
biochem	195
damag	194
ani	194
full	193
foundat	192
metal	192
histori	192
cotyledon	192
bacteria	192
step	191
sinc	191
altern	191
senesc	191
frequenc	191
abscis	191
chain	191
should	190
experiment	190
partial	190
modifi	190
polyploid	190
cycl	188
pea	188
block	188
residu	187
cyst	186
yet	186
divid	186
basic	186
oxygen	185
way	184
serv	184
fe	184
regard	184
despit	183
ontolog	183
directli	182
morpholog	182
becom	182
substitut	182
degrad	182
monocot	182
without	181
expand	181
particular	180
splice	180
great	180
bac	179
call	179
did	179
greater	178
later	178
focus	178
accord	178
power	178
strongli	178
chapter	178
height	177
phase	177
bacteri	177
tomato	177
subcellular	177
novo	177
cowpea	176
defin	176
toxic	175
estim	175
sucros	174
array	173
branch	173
precis	173
illumina	172
stabil	171
particip	171
nil	171
breeder	170
http	170
substanti	170
numer	170
transfer	170
truncatula	169
substrat	168
broad	168
summar	167
comput	167
phaseolu	167
second	166
est	166
materi	166
synteni	165
color	165
dehydr	165
energi	165
even	164
address	164
period	164
infer	163
ft	163
purifi	163
race	163
understood	163
capac	163
primer	162
sd	162
molecul	162
cdna	161
complement	161
china	161
chloroplast	161
much	161
e1	161
fluoresc	161
typic	160
uptak	160
polyploidi	160
restrict	160
go	160
silico	160
isoform	160
repress	160
ident	160
vulgari	159
decad	159
resequenc	159
employ	159
late	159
continu	159
eudicot	158
zinc	158
phosphoryl	158
trigger	158
embryo	157
peanut	157
diversif	157
nucleu	156
steril	156
subgroup	156
chr	156
carbohydr	156
subject	156
